Wall time,Step,Value
1746032311.6876411,102509,-1.0482025146484375
1746032579.5410748,102806,-1.2299530506134033
1746032709.3290436,102949,-1.0021193027496338
1746032712.9949346,102953,-1.1564552783966064
1746032969.017046,103236,-1.1810189485549927
1746033121.7222948,103405,-1.0581333637237549
1746033214.803168,103508,-1.164589762687683
1746033406.1790512,103720,-1.1555514335632324
1746033583.8421838,103917,-1.0929749011993408
1746033990.2120097,104340,-1.0634578466415405
1746033996.618482,104347,-0.9901956915855408
1746034056.3573296,104413,-1.0079679489135742
1746034100.6324153,104462,-0.9711207747459412
1746034474.7840645,104876,-1.0946319103240967
1746034557.051317,104967,-1.0234829187393188
1746034657.0739594,105077,-1.0150620937347412
1746034717.703742,105144,-0.9940690994262695
1746034856.8940754,105298,-1.0231317281723022
1746035062.0936253,105524,-1.027624249458313
1746035127.218705,105596,-1.0269219875335693
1746035142.412671,105613,-1.0378053188323975
1746035241.5235283,105722,-1.0797755718231201
1746035272.9407096,105757,-1.1262320280075073
1746035310.1229596,105798,-1.1500728130340576
1746035682.9156978,106210,-1.065926432609558
1746035805.7004616,106312,-1.0412371158599854
1746035832.159639,106341,-1.1552119255065918
1746035851.8155034,106363,-1.1175411939620972
1746035958.7471738,106481,-0.9651004672050476
1746036338.348181,106901,-1.0242035388946533
1746036398.08728,106967,-0.9989967346191406
1746036488.0408688,107066,-1.0669560432434082
1746036497.9520078,107077,-1.035083293914795
1746036532.895488,107116,-1.1370124816894531
1746036692.005115,107292,-1.111775279045105
1746036993.37958,107625,-1.0553689002990723
1746037134.94267,107782,-0.9670441150665283
1746037187.4141414,107840,-1.089630365371704
1746037212.9538798,107868,-1.2075791358947754
1746037288.6007962,107952,-1.1929831504821777
1746037393.4104345,108068,-1.144919753074646
1746038388.7815158,109140,-1.1365792751312256
1746038446.0149102,109204,-1.2367002964019775
1746038712.3956892,109499,-1.3288804292678833
1746039087.1633008,109914,-1.0442233085632324
1746039188.2442775,110026,-1.1617350578308105
1746039207.9386652,110048,-1.11629319190979
1746039529.1085954,110404,-1.053756833076477
1746039643.281923,110500,-1.0496890544891357
1746040068.7244604,110971,-1.0930485725402832
1746040106.9548342,111013,-1.0802958011627197
1746040290.3066742,111216,-1.1552445888519287
